Event , PID , PT , Y 
485,421,2.01933,0.177516
485,-421,3.35904,0.281235
487,421,1.38113,-1.36282
488,-421,1.08813,1.51496
491,421,1.48525,1.19373
491,-421,0.419893,1.88425
494,-421,1.82344,0.0103768
500,-421,1.90209,-1.99349
502,-421,2.88249,0.45477
502,421,2.66117,1.69072
508,421,2.05483,0.982781
509,-421,1.64763,-0.864959
513,-421,0.970458,1.28518
513,421,0.289116,-1.64038
516,421,2.36286,1.85321
517,421,0.554233,1.01517
520,421,4.01519,1.33195
521,421,1.46106,-0.175642
523,-421,1.10495,-0.972524
525,421,1.61202,1.22885
526,-421,1.11772,1.04479
527,-421,2.08392,0.0300587
529,-421,3.71482,-1.06286
529,421,3.28844,-1.38535
539,421,1.46299,-1.97412
540,-421,2.46932,0.526544
546,-421,2.0889,-1.79907
551,-421,1.40282,-1.7767
553,421,1.18506,-0.53691
560,-421,2.53118,-1.50881
561,421,2.21069,-0.488101
562,421,3.61576,-0.607979
562,-421,4.08234,1.82596
564,-421,4.46836,-1.54704
566,-421,1.56254,0.794822
567,-421,0.974415,-0.414784
567,421,1.41102,0.45271
570,421,1.98207,-1.32604
570,-421,2.38355,0.252241
572,421,0.985134,-0.0305206
587,-421,0.728646,-0.478449
589,-421,2.51047,-1.99809
595,421,2.28934,-0.650204
595,-421,2.90158,-1.85342
597,-421,0.354021,-1.18798
597,421,0.891208,0.231174
601,-421,0.197224,-0.355298
602,-421,2.6053,0.806988
609,-421,1.15185,-1.61976
610,-421,0.754093,-1.08449
611,-421,2.22715,-0.341045
611,421,1.99852,1.9129
613,421,3.23083,1.19814
614,421,0.344948,1.70454
621,-421,2.34961,1.2878
622,421,0.853672,1.4234
623,421,0.830602,-1.67245
625,421,1.59689,1.92066
626,421,1.69854,-0.920823
628,421,0.226156,-0.667101
629,-421,2.21558,0.357361
629,421,6.11933,1.66225
636,421,3.21761,0.811517
639,-421,0.727656,-0.163177
641,421,1.64939,0.308661
643,-421,0.758108,1.8533
645,421,1.26207,-0.947757
645,-421,1.99451,1.16711
649,421,0.431824,-1.37382
654,421,1.93225,-0.560092
655,-421,1.66469,-1.95381
661,-421,3.81431,-0.211585
661,421,1.08762,1.76116
662,421,1.62175,0.883208
667,421,1.00424,-1.08734
670,-421,7.13144,1.53326
670,421,4.47037,0.648444
671,421,2.1494,-0.247124
672,421,0.528949,1.36929
674,-421,2.43491,1.8571
674,-421,7.5976,-0.48
675,-421,0.910913,0.0236664
677,-421,1.62085,0.214094
678,-421,1.44802,1.66851
680,-421,1.08365,1.41131
