Event , PID , PT , Y 
9,-421,0.632598,3.60742
14,-421,1.48863,2.79132
33,-421,1.37512,2.59411
37,-421,3.5396,4.09456
37,421,3.3493,4.12515
39,421,1.12257,3.29256
54,421,1.32455,2.04157
60,421,2.36266,2.05123
66,-421,1.80712,3.47644
75,421,0.944461,2.78391
75,-421,1.95544,2.2655
84,-421,0.735095,2.96349
87,-421,0.449511,4.65259
95,-421,1.20098,4.29014
116,421,0.795731,3.67599
117,-421,0.804306,3.43843
120,421,2.18951,3.91272
123,-421,1.66437,2.92222
130,421,1.49051,3.87511
131,-421,4.51561,2.00934
133,421,0.8396,2.58366
134,421,0.361823,3.34752
135,421,2.10774,4.05384
137,421,5.86369,3.37897
139,421,1.46753,2.44422
141,421,2.06227,2.14592
144,-421,2.25757,3.05593
152,421,0.803421,4.43059
154,421,1.57919,4.81495
155,421,0.532771,2.95095
155,-421,1.17959,4.18264
156,421,1.51363,2.41414
156,-421,0.662474,2.75605
172,421,1.94675,2.59758
172,-421,4.41339,4.67492
173,-421,1.69275,2.232
183,421,7.67171,3.44711
183,-421,3.27635,2.6673
191,-421,0.922125,2.04958
204,-421,1.85936,2.06924
209,421,1.78474,3.41945
212,-421,1.21613,3.46495
213,-421,3.45031,3.32584
213,421,2.84321,2.7449
214,-421,0.419356,2.34491
218,421,0.765727,4.02969
220,-421,2.14929,2.13479
221,-421,1.46272,2.95419
230,-421,3.10379,3.61894
233,421,2.95892,4.59613
233,-421,4.53192,4.47932
240,421,1.37875,4.57815
242,421,2.54596,4.8151
247,421,0.988687,2.64749
247,-421,0.788491,3.66445
255,-421,2.86004,4.92541
259,-421,2.17804,2.21201
264,-421,3.36118,3.83869
266,421,1.74368,4.02784
286,-421,0.827144,2.38087
287,421,2.30318,2.15024
300,421,1.00012,4.76628
305,421,1.74016,2.88281
305,-421,2.24056,2.41342
306,-421,2.82477,3.27533
310,-421,1.39522,3.0408
318,-421,1.26767,2.90248
319,421,2.04922,2.09185
323,-421,1.79046,3.48252
324,421,1.98474,3.98034
324,-421,1.50384,4.0717
329,421,4.04363,4.00991
333,-421,1.89393,3.41398
341,-421,1.46111,3.1106
342,-421,2.36938,2.34746
344,421,2.75373,2.60705
345,421,0.602549,2.07334
349,-421,1.52883,3.37593
351,421,1.88745,4.32629
352,421,0.363523,4.94684
353,421,3.80216,3.50793
357,-421,2.17484,3.34938
368,421,1.9542,2.13715
369,421,1.96565,4.73732
369,-421,1.67682,3.39642
370,-421,3.28821,2.70529
370,421,3.44884,3.04686
372,421,1.86543,3.36681
386,421,3.11056,2.24024
388,421,1.23768,3.4643
392,-421,1.12366,3.70328
394,421,8.32494,4.18169
396,421,3.73329,3.47539
399,-421,2.80209,3.60026
399,421,1.81947,3.0387
400,421,2.18268,4.34177
401,421,0.124631,3.29773
403,-421,3.5146,3.42797
406,-421,1.72314,3.1363
412,421,0.282512,4.65041
414,-421,1.24217,3.75526
423,421,0.608029,3.46525
424,421,1.19152,2.551
428,-421,3.29826,2.38699
428,421,3.73402,2.91923
435,421,1.3493,3.3877
437,421,0.740628,4.44789
441,421,1.41135,3.77103
441,-421,3.00045,2.5009
447,-421,7.33218,2.93932
450,-421,0.957006,2.08052
451,421,1.12771,4.68039
451,-421,2.85412,4.94267
454,-421,0.824508,3.06161
460,421,0.752229,2.34914
466,421,1.71204,2.25133
468,-421,1.73766,3.09499
468,421,1.3317,4.5272
469,421,2.14885,3.24508
469,-421,2.35948,3.8433
478,421,1.09954,3.95499
484,421,1.52183,2.10714
486,421,0.627722,3.95038
490,421,1.78105,3.10071
491,-421,1.93875,2.25662
495,421,1.50924,4.30315
499,-421,0.907842,4.75804
506,421,0.461119,2.00848
509,421,4.71772,3.0697
511,421,0.80842,3.5343
512,-421,0.681283,4.84756
523,-421,0.63472,4.57289
527,-421,2.07984,4.68099
527,421,1.24374,3.81195
530,421,2.4362,2.01909
535,421,0.842977,2.21821
537,-421,1.87633,4.20924
537,421,1.16449,3.39685
538,421,1.33905,3.60712
541,421,0.889213,4.85255
542,-421,2.61595,2.52828
555,-421,0.877032,2.80397
556,-421,0.831537,4.85047
564,-421,4.49435,2.30582
565,-421,1.37258,4.85217
567,421,4.04739,4.80577
568,-421,1.72601,4.97774
568,421,0.931641,4.27927
570,421,0.66093,3.84043
582,-421,1.53022,3.15304
582,421,0.825207,2.13891
587,-421,1.21742,2.03817
587,421,1.58172,2.52587
591,421,1.66819,4.81074
596,421,2.35658,2.50044
598,-421,2.01436,2.59763
605,421,3.4347,2.80902
612,-421,3.15203,2.83876
623,421,0.58208,4.99815
626,-421,1.46364,3.37974
627,-421,3.55478,3.093
630,-421,1.23582,3.46637
645,-421,1.6586,4.39727
652,-421,1.14247,2.90783
662,421,1.79035,4.58163
662,-421,1.80171,2.52815
664,-421,1.44625,2.79355
668,421,2.04937,3.45747
669,421,2.64575,2.31434
670,421,0.255715,2.19118
672,-421,2.42088,2.73754
674,-421,1.218,2.12672
676,421,1.14107,3.6659
679,-421,2.34269,3.37625
