Event , PID , PT , Y 
6,-421,1.49735,1.71237
7,-421,1.29906,-1.51716
10,421,0.891044,-0.415427
10,-421,1.37754,0.876359
13,-421,1.78992,0.346604
13,421,1.18263,-1.76881
15,421,0.955901,-0.211145
18,-421,1.68306,-0.889048
19,-421,1.70781,0.0471763
19,421,1.292,0.77546
20,421,1.28169,-0.407089
21,-421,1.17626,0.453242
22,-421,1.57371,-1.35374
22,421,1.27956,0.392783
23,-421,1.16335,0.874419
24,421,0.959707,1.56952
24,-421,0.728287,0.990417
25,-421,1.60495,-0.473485
26,421,4.43643,1.94009
27,-421,4.20865,-0.684006
27,421,3.74531,1.63258
29,-421,2.53539,1.77235
29,421,6.503,-0.0573356
33,-421,0.879215,0.235116
35,421,3.92333,0.494925
41,421,3.01897,1.42034
41,-421,4.33293,1.85473
48,421,0.628833,-0.831717
54,-421,0.972306,-0.0486872
56,-421,1.83652,1.00764
56,421,2.59258,1.6959
57,-421,1.28603,1.94415
58,-421,3.06524,1.06073
61,-421,3.79564,1.42006
65,421,1.32589,1.05284
66,421,3.45511,0.862167
68,421,0.823418,0.00965394
71,-421,1.5514,-0.0887554
73,-421,2.023,1.66446
78,421,1.06147,-1.02874
79,-421,1.0648,-0.846255
82,421,0.550473,1.24922
84,421,2.87835,0.64357
86,-421,2.70264,0.517706
90,-421,1.57002,-0.642241
90,421,1.95654,0.70029
93,421,1.32112,-0.477152
93,-421,0.832227,0.263933
95,-421,0.82138,0.898034
99,421,1.0448,-0.817224
100,421,0.34166,-0.230602
100,-421,0.752606,-1.63475
101,421,2.26346,-1.8849
105,421,3.26594,-1.97564
112,421,0.893492,1.39202
112,-421,0.850197,-1.26553
114,-421,1.22399,-0.128985
114,421,1.28543,-0.677765
115,-421,1.89763,1.37569
116,421,0.641741,-0.747447
117,-421,1.8448,1.78978
118,-421,1.15357,-1.45655
118,421,3.77531,0.180502
121,421,1.58141,-0.728153
121,-421,1.34278,-1.20849
122,421,2.02298,1.32384
129,-421,1.3227,-0.372882
130,421,0.326799,-1.00404
133,-421,2.52052,0.202419
142,-421,2.50312,1.42475
144,-421,3.74082,-0.200189
149,421,1.3375,-1.37044
149,-421,6.87104,0.0874702
149,421,5.53969,1.89636
152,-421,1.0191,0.987479
156,421,2.18285,-0.46218
162,-421,1.647,0.570809
167,-421,1.54568,-0.726345
168,-421,1.36116,1.22773
169,421,2.79124,1.47301
169,-421,4.80652,0.0974964
170,421,4.44439,-0.0256683
172,-421,4.96985,-1.25582
174,421,2.33994,-1.62156
176,-421,0.469338,0.511034
177,-421,1.76182,-0.164177
178,-421,4.31928,1.13658
178,421,2.95534,0.485411
179,421,1.51325,-0.471503
183,421,3.05307,1.07517
184,-421,1.98743,-0.45809
184,421,2.23606,-0.0125645
186,421,1.92735,1.66119
187,-421,1.67114,0.401402
188,421,2.27185,-0.754836
188,-421,0.708631,1.18651
189,421,2.34127,0.547539
190,421,1.32384,-1.49966
190,-421,3.24341,-1.50942
191,421,1.41001,0.787916
192,-421,2.1271,0.772241
193,421,1.37813,1.53138
194,-421,2.26433,1.35167
199,421,0.888989,-0.485891
203,421,2.50568,1.52491
206,-421,1.51539,0.271901
207,-421,3.91772,-1.6117
208,-421,0.651923,1.44011
210,421,2.34198,-1.83933
211,421,1.07515,0.630161
212,-421,1.00892,-1.63559
214,421,2.3382,-0.562897
214,-421,1.53036,0.845389
217,-421,2.4805,0.886294
220,421,2.59454,-1.73085
226,-421,1.0042,-0.175635
228,-421,1.86658,1.94708
230,421,2.32654,-0.472202
